Model,Eval MAE,Eval MSE,Eval RMSE,Eval R^2,Test MAE,Test MSE,Test RMSE,Test R^2
Linear Regression,8.500829030214964,136.40340128169692,11.679186670384926,0.9658111399562989,8.403062810861778,129.43483031846097,11.376942924989162,0.9668550416725594
Decision Tree Regressor,3.617777777777778,32.27022222222222,5.680688534167511,0.9919116231650542,3.394222222222222,27.974666666666668,5.28910830543927,0.9928364014646647
Random Forest Regressor,1.8761244444444447,9.391543466666668,3.0645625245158024,0.997646054554658,1.7711999999999999,8.000713777777777,2.8285533012085486,0.9979512212894955
Gradient Boosting Regressor,2.7817402522068853,15.314270007109812,3.9133451173017963,0.9961615514787403,2.6317866160578776,12.897907858594529,3.5913657372362575,0.9966971748065613
Support Vector Regressor,11.427945824787848,283.22945080868226,16.82942217691036,0.9290098929867981,11.352804942423228,273.7308049356905,16.544812024791653,0.9299045233790044
XGBoost Regressor,1.5693321284717983,5.580016375638808,2.3622058283813474,0.9986013955875316,1.520469519423114,4.5236624325738415,2.12689031982701,0.9988416054438657
